رقم الوحدة,اسم المنطقة / المشروع,نوع الدور,مصعد,مساحة الوحدة,نسبة التميز,سعر المتر,قيمة الوحدة,جدية الحجز,استكمال الـ 20%+ 1% م ادارية + 0.5% مجلس امناء,قيمة الـ 10% عند الاستلام,القسط علي 3 سنوات,القسط علي 5 سنوات,القسط علي 7 سنوات,متاحة؟
1,العبور ,الأرضي,بدون,89,1,7245,644805,60000,78633,64481,55465,39616,33257,متاحة 
2,العبور ,الأرضي,بدون,89,1,7245,644805,60000,78633,64481,55465,39616,33257,متاحة 
3,العبور ,الأرضي,بدون,89,1,7245,644805,60000,78633,64481,55465,39616,33257,متاحة 
4,العبور ,الأرضي,بدون,89,1,7245,644805,60000,78633,64481,55465,39616,33257,متاحة 
5,العبور ,الأول,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
6,العبور ,الأول,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
7,العبور ,الأول,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
8,العبور ,الأول,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
9,العبور ,الثاني,بدون,92.5,1.05,7245,703671,60000,91289,70367,60529,43232,36293,متاحة 
10,العبور ,الثاني,بدون,92.5,1.05,7245,703671,60000,91289,70367,60529,43232,36293,متاحة 
11,العبور ,الثاني,بدون,92.5,1.05,7245,703671,60000,91289,70367,60529,43232,36293,متاحة 
12,العبور ,الثاني,بدون,92.5,1.05,7245,703671,60000,91289,70367,60529,43232,36293,متاحة 
13,العبور ,الثالث,بدون,92,1.05,7245,699867,60000,90471,69987,60201,42998,36097,متاحة 
14,العبور ,الثالث,بدون,92,1.05,7245,699867,60000,90471,69987,60201,42998,36097,متاحة 
15,العبور ,الثالث,بدون,92,1.05,7245,699867,60000,90471,69987,60201,42998,36097,متاحة 
16,العبور ,الثالث,بدون,92,1.05,7245,699867,60000,90471,69987,60201,42998,36097,متاحة 
17,العبور ,الرابع,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
18,العبور ,الرابع,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
19,العبور ,الرابع,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
20,العبور ,الرابع,بدون,90,1.05,7245,684653,60000,87200,68465,58893,42064,35312,متاحة 
21,العبور ,الخامس والأخير,بدون,90,1,7245,652050,60000,80191,65205,56088,40061,33630,متاحة 
22,العبور ,الخامس والأخير,بدون,90,1,7245,652050,60000,80191,65205,56088,40061,33630,متاحة 
